iter	Passed	Remaining
0	45	31924
1	91	31824
2	132	30792
3	173	30106
4	216	30063
5	262	30326
6	304	30108
7	348	30186
8	391	30042
9	434	29956
10	477	29929
11	520	29858
12	564	29832
13	609	29873
14	652	29794
15	696	29783
16	738	29669
17	781	29594
18	823	29530
19	866	29467
20	911	29461
21	954	29401
22	996	29344
23	1039	29292
24	1080	29173
25	1123	29133
26	1171	29192
27	1217	29217
28	1261	29187
29	1307	29196
30	1351	29166
31	1394	29120
32	1437	29048
33	1481	29025
34	1522	28928
35	1568	28923
36	1613	28904
37	1657	28875
38	1700	28824
39	1744	28782
40	1789	28758
41	1836	28772
42	1880	28736
43	1921	28650
44	1963	28581
45	2007	28543
46	2050	28490
47	2096	28480
48	2142	28462
49	2191	28483
50	2240	28509
51	2286	28494
52	2333	28490
53	2378	28454
54	2421	28397
55	2466	28368
56	2510	28315
57	2552	28252
58	2595	28195
59	2638	28142
60	2681	28087
61	2727	28068
62	2769	27998
63	2810	27928
64	2854	27888
65	2898	27840
66	2943	27809
67	2986	27756
68	3026	27679
69	3072	27656
70	3116	27608
71	3162	27582
72	3208	27559
73	3251	27510
74	3297	27475
75	3341	27436
76	3382	27368
77	3425	27316
78	3470	27280
79	3517	27260
80	3563	27229
81	3606	27183
82	3664	27244
83	3715	27248
84	3762	27222
85	3804	27161
86	3848	27118
87	3891	27062
88	3934	27013
89	3978	26967
90	4020	26904
91	4064	26863
92	4117	26871
93	4167	26864
94	4216	26853
95	4266	26845
96	4314	26821
97	4367	26829
98	4432	26906
99	4506	27037
100	4577	27147
101	4648	27252
102	4726	27394
103	4794	27475
104	4874	27623
105	4951	27747
106	5019	27817
107	5108	28004
108	5184	28109
109	5275	28295
110	5344	28360
111	5424	28477
112	5505	28599
113	5576	28664
114	5655	28768
115	5740	28899
116	5809	28946
117	5895	29078
118	5981	29201
119	6051	29250
120	6143	29397
121	6210	29424
122	6287	29497
123	6376	29618
124	6445	29648
125	6522	29712
126	6599	29776
127	6667	29795
128	6747	29868
129	6816	29887
130	6896	29953
131	6987	30065
132	7046	30039
133	7149	30197
134	7226	30245
135	7335	30420
136	7418	30485
137	7498	30538
138	7586	30617
139	7655	30621
140	7756	30749
141	7823	30742
142	7901	30778
143	7984	30827
144	8077	30917
145	8144	30903
146	8222	30932
147	8310	30997
148	8374	30969
149	8457	31009
150	8538	31043
151	8613	31052
152	8694	31083
153	8776	31117
154	8841	31086
155	8924	31121
156	9001	31131
157	9064	31093
158	9143	31110
159	9223	31129
160	9294	31115
161	9371	31122
162	9457	31158
163	9521	31118
164	9594	31110
165	9670	31109
166	9737	31078
167	9819	31095
168	9896	31095
169	9967	31074
170	10045	31074
171	10124	31080
172	10184	31023
173	10256	31006
174	10342	31027
175	10407	30984
176	10482	30974
177	10568	30991
178	10626	30928
179	10707	30931
180	10790	30941
181	10859	30907
182	10944	30918
183	11015	30891
184	11101	30903
185	11181	30898
186	11235	30823
187	11313	30810
188	11400	30824
189	11475	30802
190	11532	30732
191	11606	30707
192	11693	30718
193	11772	30704
194	11834	30647
195	11911	30629
196	11994	30626
197	12065	30589
198	12146	30580
199	12217	30544
200	12284	30498
201	12365	30486
202	12447	30474
203	12515	30429
